steamid,appid,playtime_forever
76561198021094241,239030,38
76561198021094241,239140,629
76561198021094241,240720,25
76561198021094241,241600,15
76561198021094241,241930,95
76561198021094241,242050,55
76561198021094241,242680,16
76561198021094241,242760,2164
76561198021094241,242860,70
76561198021094241,244930,18
76561198021094241,245490,322
76561198021094241,246900,249
76561198021094241,246920,34
76561198021094241,248610,17
76561198021094241,248820,87
76561198021094241,250050,64
76561198021094241,250400,1
76561198021094241,250460,23
76561198021094241,250900,370
76561198021094241,251170,10
76561198021094241,251570,5
76561198021094241,252130,1
76561198021094241,252490,48913
76561198021094241,252950,6466
76561198021094241,253710,8
76561198021094241,255710,1
76561198021094241,258180,1
76561198021094241,261110,1
76561198021094241,261180,681
76561198021094241,262060,45
76561198021094241,264200,10
76561198021094241,264710,1
76561198021094241,265590,1
76561198021094241,265630,139
76561198021094241,265930,77
76561198021094241,266010,8
76561198021094241,268050,105
76561198021094241,268910,99
76561198021094241,269710,1
76561198021094241,270450,165
76561198021094241,270550,1
76561198021094241,271590,7811
76561198021094241,273350,108
76561198021094241,274170,167
76561198021094241,274190,291
76561198021094241,274520,19
76561198021094241,274900,24
76561198021094241,278360,58
76561198021094241,280160,25
76561198021094241,280180,22
76561198021094241,282070,1
76561198021094241,285800,5
76561198021094241,286080,48
76561198021094241,286160,549
76561198021094241,286690,54
