final_player_id,total_library_games,total_played_games,total_playtime_minutes,categorized_games,categorized_played_games,category_game_coverage,category_playtime_coverage,avg_playtime_per_played_game_minutes,games_combat,played_games_combat,games_exploration,played_games_exploration,games_strategic_reasoning,played_games_strategic_reasoning,games_shooter,played_games_shooter,games_melee,played_games_melee,games_action_other,played_games_action_other,games_open_world,played_games_open_world,games_narrative_exploration,played_games_narrative_exploration,games_investigation,played_games_investigation,games_logic_puzzle,played_games_logic_puzzle,games_planning_management,played_games_planning_management,games_strategy_decision,played_games_strategy_decision,games_observation_deduction,played_games_observation_deduction,macro_target
general_final_0171,3,3,1498,3,3,1.0,1.0,499.333333,0,0,3,3,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,exploration
general_final_0172,16,14,14576,13,11,0.8125,0.919937,1041.142857,5,4,8,7,0,0,4,4,0,0,1,0,7,6,1,1,0,0,0,0,0,0,0,0,0,0,exploration
general_final_0173,39,35,75890,26,22,0.666667,0.94131,2168.285714,11,9,13,11,2,2,10,8,1,1,0,0,1,0,4,4,8,7,0,0,1,1,1,1,0,0,combat
general_final_0175,35,22,62439,22,12,0.628571,0.955861,2838.136364,9,4,7,5,6,3,6,3,0,0,3,1,3,2,2,2,2,1,3,2,1,1,2,0,0,0,combat
general_final_0176,80,68,595855,69,60,0.8625,0.966297,8762.573529,38,35,26,22,5,3,25,24,3,3,9,7,14,11,3,2,9,9,2,0,3,3,0,0,0,0,combat
general_final_0177,233,174,402748,187,135,0.802575,0.83475,2314.643678,78,59,58,41,51,35,50,39,10,8,12,8,24,16,20,15,13,9,11,5,16,14,20,12,0,0,combat
general_final_0179,587,567,2133196,475,457,0.809199,0.889491,3762.250441,169,157,228,224,78,76,104,102,26,24,34,26,61,61,102,99,59,59,43,43,14,14,19,17,0,0,combat
general_final_0182,64,52,116785,52,41,0.8125,0.88639,2245.865385,23,18,17,13,12,10,15,15,3,1,3,1,10,7,4,4,2,2,5,4,1,1,5,4,0,0,combat
general_final_0183,108,62,114210,83,45,0.768519,0.904737,1842.096774,30,19,35,15,18,11,18,14,2,0,7,2,7,4,17,7,11,4,6,1,4,4,6,4,0,0,combat
general_final_0185,45,27,96987,39,21,0.866667,0.873581,3592.111111,15,9,17,11,7,1,9,7,1,1,4,1,7,5,9,5,0,0,4,0,1,1,2,0,0,0,combat
general_final_0187,62,53,85574,49,41,0.790323,0.959836,1614.603774,22,18,19,15,8,8,13,11,1,1,6,4,9,8,4,2,6,5,2,2,3,3,3,3,0,0,exploration
general_final_0188,48,39,190821,35,27,0.729167,0.945263,4892.846154,16,15,8,7,11,5,13,12,2,2,0,0,3,3,3,3,0,0,4,3,0,0,6,2,0,0,combat
general_final_0189,83,62,411637,66,48,0.795181,0.960839,6639.306452,40,29,19,16,7,3,36,26,0,0,2,1,10,9,4,3,4,3,0,0,0,0,6,2,0,0,combat
general_final_0191,126,92,258645,98,71,0.777778,0.945075,2811.358696,41,27,38,27,19,17,31,22,0,0,6,3,17,11,13,9,8,7,3,3,10,9,5,4,0,0,combat
general_final_0194,9,9,5860,7,7,0.777778,0.925768,651.111111,4,4,2,2,1,1,4,4,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,combat
general_final_0199,135,112,89874,96,80,0.711111,0.901885,802.446429,44,37,28,26,24,17,33,27,1,1,6,5,5,5,10,9,12,11,9,8,4,4,10,4,0,0,combat
general_final_0200,723,489,718137,581,387,0.803596,0.910525,1468.582822,190,134,251,176,140,77,110,79,27,18,49,35,86,68,95,58,63,46,39,23,25,17,72,33,0,0,exploration
general_final_0201,479,402,451430,381,323,0.795407,0.853811,1122.960199,75,62,155,133,151,128,11,6,18,12,46,44,26,21,89,78,31,25,70,57,15,13,48,43,0,0,exploration
general_final_0202,119,103,187464,109,93,0.915966,0.931176,1820.038835,55,42,41,39,13,12,38,27,7,6,6,6,16,15,13,12,8,8,4,4,5,5,4,3,0,0,combat
general_final_0203,28,12,19369,24,10,0.857143,0.998193,1614.083333,9,5,14,4,1,1,5,2,1,1,3,2,6,1,5,2,3,1,0,0,0,0,1,1,0,0,exploration
general_final_0204,77,75,291771,66,65,0.857143,0.93668,3890.28,14,14,46,45,6,6,9,9,0,0,2,2,15,15,17,16,12,12,0,0,4,4,1,1,0,0,exploration
general_final_0205,118,86,178751,89,64,0.754237,0.818569,2078.5,28,19,50,36,11,9,17,11,4,3,6,5,14,9,18,14,18,13,8,6,0,0,2,2,0,0,exploration
general_final_0206,40,25,43031,35,21,0.875,0.987707,1721.24,18,13,14,6,3,2,14,9,2,2,0,0,4,1,8,3,1,1,2,1,0,0,1,1,0,0,combat
general_final_0211,55,46,51150,36,29,0.654545,0.894839,1111.956522,11,9,13,10,12,10,9,7,0,0,1,1,6,6,4,2,3,2,2,2,2,2,4,2,1,1,exploration
general_final_0213,68,59,106026,56,50,0.823529,0.954926,1797.050847,19,16,33,30,4,4,13,10,4,4,2,2,5,5,20,17,6,6,2,2,0,0,1,1,0,0,exploration
general_final_0215,195,134,226591,153,99,0.784615,0.847448,1690.977612,49,32,66,48,38,19,31,20,12,9,5,2,14,7,35,27,16,13,16,10,3,2,19,7,0,0,exploration
general_final_0217,37,26,27291,28,20,0.756757,0.969404,1049.653846,14,9,9,8,5,3,9,6,0,0,4,3,6,6,1,0,2,2,2,1,0,0,2,1,0,0,combat
general_final_0219,79,64,239380,67,55,0.848101,0.934777,3740.3125,24,20,33,30,10,5,21,18,1,1,1,1,19,18,9,8,4,4,3,2,1,0,5,2,0,0,exploration
general_final_0220,162,70,283147,129,53,0.796296,0.912862,4044.957143,46,11,52,26,31,16,42,9,1,1,2,1,24,12,16,5,11,9,1,0,3,0,27,16,0,0,exploration
general_final_0221,51,41,200757,44,36,0.862745,0.94706,4896.512195,21,14,22,21,1,1,18,13,0,0,2,0,9,8,9,9,3,3,0,0,0,0,0,0,0,0,combat
general_final_0222,27,21,32169,19,15,0.703704,0.907147,1531.857143,11,7,7,7,1,1,8,5,2,2,1,0,6,6,1,1,0,0,0,0,0,0,0,0,0,0,exploration
general_final_0224,89,75,195222,63,50,0.707865,0.8738,2602.96,20,16,30,24,13,10,14,11,1,1,1,0,4,3,17,14,7,6,8,6,1,1,3,2,0,0,strategic_reasoning
general_final_0226,49,34,34088,37,25,0.755102,0.98366,1002.588235,13,8,19,13,5,4,10,7,1,0,1,0,3,2,8,5,7,6,1,1,0,0,3,2,0,0,exploration
general_final_0229,268,205,1552932,210,154,0.783582,0.719408,7575.278049,63,53,91,58,56,43,29,25,12,10,17,13,27,21,45,27,17,9,28,20,4,3,17,13,1,1,combat
general_final_0231,179,81,173966,145,63,0.810056,0.847988,2147.728395,43,22,79,31,23,10,25,14,6,2,10,5,15,6,44,14,15,7,11,5,5,2,6,2,0,0,combat
