steamid,hours_exploration_rpg,games_exploration_rpg,hours_exploration_open_world,games_exploration_open_world,hours_exploration_adventure,games_exploration_adventure,total_playtime,num_games,avg_playtime_per_game,exploration_rpg,exploration_open_world,exploration_adventure,diversity,entropy,dominance,second_max,gap,target
76561199046671846,0.0,0,45.91666666666667,3,0.0,0,45.91666666666667,3,15.305555555555557,0.0,1.0,0.0,1,-0.0,1.0,0.0,1.0,exploration_open_world
76561199049771754,96.53333333333333,10,1103.8166666666666,26,121.85000000000001,9,1322.1999999999998,45,29.382222222222218,0.07300963041395654,0.8348333585438411,0.0921570110422024,3,0.8100896092481338,0.8348333585438411,0.0921570110422024,0.7426763475016387,exploration_open_world
76561199051858004,0.23333333333333334,1,91.31666666666666,7,8.833333333333334,1,100.38333333333333,9,11.153703703703703,0.0023244230449941893,0.9096795616802258,0.08799601527478003,3,0.453121607314345,0.9096795616802258,0.08799601527478003,0.8216835464054457,exploration_open_world
76561199063609065,405.00000000000006,3,1127.45,9,101.63333333333334,4,1634.0833333333335,16,102.13020833333334,0.24784537712274976,0.6899586924371461,0.06219593044010403,3,1.1174234917120884,0.6899586924371461,0.24784537712274976,0.44211331531439635,exploration_open_world
76561199064701575,1495.7833333333333,31,726.2666666666667,30,156.68333333333334,17,2378.7333333333336,78,30.4965811965812,0.6288150556318488,0.3053165550292873,0.06586838933886381,3,1.2019330524270004,0.6288150556318488,0.3053165550292873,0.3234985006025615,exploration_rpg
76561199068026988,270.0,9,242.46666666666667,16,65.46666666666667,5,577.9333333333334,30,19.264444444444447,0.4671819125620025,0.41954089283654394,0.11327719460145344,3,1.394598056054548,0.4671819125620025,0.41954089283654394,0.04764101972545853,exploration_rpg
76561199068622591,73.6,10,426.28333333333336,26,18.233333333333334,5,518.1166666666667,41,12.636991869918699,0.14205294817769484,0.8227554926496606,0.035191559172644514,3,0.8014532168759595,0.8227554926496606,0.14205294817769484,0.6807025444719658,exploration_open_world
76561199070366974,28.76666666666667,4,477.0,21,111.26666666666667,13,617.0333333333333,38,16.23771929824561,0.04662092809680731,0.7730538598671061,0.18032521203608665,3,0.9389218935186905,0.7730538598671061,0.18032521203608665,0.5927286478310194,exploration_open_world
76561199081565391,30.733333333333334,4,97.35,8,16.016666666666666,3,144.09999999999997,15,9.606666666666664,0.2132778163312515,0.6755725190839695,0.11114966458477911,3,1.2099688581243577,0.6755725190839695,0.2132778163312515,0.462294702752718,exploration_open_world
76561199083616523,406.6166666666667,6,1047.3,34,197.6,15,1651.5166666666664,55,30.027575757575754,0.24620803100180647,0.6341443723446126,0.11964759665358106,3,1.2810488573131225,0.6341443723446126,0.24620803100180647,0.3879363413428062,exploration_open_world
