steamid,combat,exploration,puzzle,hours_combat,hours_exploration,hours_puzzle,games_combat,games_exploration,games_puzzle,total_playtime,num_games,avg_playtime_per_game,diversity,entropy,dominance,second_max,gap,target
76561198750649660,0.46863239733675205,0.4968777139076134,0.034489888755634586,188.86666666666667,200.25,13.899999999999999,11.0,19.0,2.0,403.01666666666665,32.0,12.594270833333333,3,1.1813451874943461,0.4968777139076134,0.46863239733675205,0.02824531657086138,exploration
76561198756090448,0.968640436306973,0.0,0.03135956369302688,414.4166666666667,0.0,13.416666666666668,2.0,0.0,3.0,427.83333333333337,5.0,85.56666666666668,2,0.20116483864639867,0.968640436306973,0.03135956369302688,0.9372808726139462,combat
76561198768578988,0.21498371335504884,0.14983713355048858,0.6351791530944625,1.1,0.7666666666666666,3.25,2.0,1.0,1.0,5.116666666666667,4.0,1.2791666666666668,3,1.3029962361276564,0.6351791530944625,0.21498371335504884,0.42019543973941365,puzzle
76561198772435366,0.9853419914911209,0.00018946897015002497,0.01446853953872918,953.4333333333334,0.18333333333333332,14.0,11.0,1.0,2.0,967.6166666666667,14.0,69.11547619047619,3,0.11175054463510178,0.9853419914911209,0.01446853953872918,0.9708734519523917,combat
76561198783881312,0.4594861660079052,0.19532279314888013,0.3451910408432148,23.25,9.883333333333333,17.466666666666665,6.0,1.0,2.0,50.599999999999994,9.0,5.622222222222222,3,1.505401402606963,0.4594861660079052,0.3451910408432148,0.11429512516469043,combat
76561198784632981,0.1076042820228867,0.7857142857142857,0.10668143226282763,4.858333333333333,35.474999999999994,4.816666666666666,1.0,3.0,1.0,45.14999999999999,5.0,9.029999999999998,3,0.9638781046311377,0.7857142857142857,0.1076042820228867,0.678110003691399,exploration
76561198799814214,0.6441661152782414,0.3396913786272088,0.01614250609454994,1833.5222222222224,966.8805555555556,45.94722222222222,40.833333333333336,35.833333333333336,6.333333333333333,2846.35,83.0,34.2933734939759,3,1.03395503650492,0.6441661152782414,0.3396913786272088,0.30447473665103264,combat
76561198807861778,0.756829367893911,0.18806284522965158,0.05510778687643734,1369.3944444444444,340.27777777777777,99.71111111111112,33.833333333333336,14.833333333333334,5.333333333333333,1809.3833333333334,54.00000000000001,33.5070987654321,3,0.9880194636035401,0.756829367893911,0.18806284522965158,0.5687665226642594,combat
76561198813665474,0.43287062760805456,0.559277225633865,0.00785214675808044,1493.1944444444443,1929.236111111111,27.086111111111112,46.833333333333336,55.833333333333336,6.333333333333333,3449.516666666667,109.0,31.646941896024465,3,1.046690197510686,0.559277225633865,0.43287062760805456,0.1264065980258104,exploration
76561198814167257,0.45314311992642053,0.528921901867477,0.017934978206102285,377.725,440.8916666666667,14.95,33.0,18.0,5.0,833.5666666666668,56.0,14.885119047619051,3,1.1075264146374708,0.528921901867477,0.45314311992642053,0.07577878194105647,exploration
